Seed,Spawn_Strategy,Initial_Drones_XY,Goal_X,Goal_Y,Optimal_Tick,Used_Tick,Map_Coverage_%,Spawn_Fail_Count,Backtrack_Count,Total_Spawned,Success
351550,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",0,1,77,84,88.57,217,493,73,True
351550,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",0,1,3,4,12.3,40,2,32,True
581238,1,"[(15, 15)]",24,16,170,171,65.92,0,0,77,True
581238,2,"[(7, 15), (23, 15)]",24,16,54,55,33.69,0,0,43,True
581238,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",24,16,30,31,36.23,0,0,43,True
581238,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",24,16,18,19,35.06,0,0,55,True
581238,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",24,16,6,17,43.65,48,23,52,True
581238,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",24,16,8,29,54.98,128,102,32,True
711660,1,"[(15, 15)]",20,5,77,78,35.64,0,0,46,True
711660,2,"[(7, 15), (23, 15)]",20,5,157,158,97.85,0,0,113,True
711660,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",20,5,125,126,87.7,0,0,144,True
711660,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",20,5,3,4,6.15,0,0,20,True
711660,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",20,5,17,18,43.65,42,26,45,True
711660,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",20,5,13,14,37.3,89,27,32,True
255811,1,"[(15, 15)]",15,14,1,2,0.29,0,0,2,True
255811,2,"[(7, 15), (23, 15)]",15,14,73,74,45.51,0,0,48,True
255811,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",15,14,59,60,65.72,0,0,84,True
255811,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",15,14,69,70,87.3,4,3,184,True
255811,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",15,14,11,12,33.11,25,19,38,True
